leaf_width,leaf_length,plant_name
3.3,7.8,Zamioculcas zamiifolia
3.0,6.8,Zamioculcas zamiifolia
3.5,8.3,Zamioculcas zamiifolia
3.2,7.5,Zamioculcas zamiifolia
3.2,7.8,Zamioculcas zamiifolia
3.8,8.0,Zamioculcas zamiifolia
3.6,7.3,Zamioculcas zamiifolia
2.8,7.5,Zamioculcas zamiifolia
2.6,7.5,Zamioculcas zamiifolia
2.4,7.1,Zamioculcas zamiifolia
2.6,7.3,Zamioculcas zamiifolia
3.3,7.6,Zamioculcas zamiifolia
3.8,8.3,Zamioculcas zamiifolia
3.1,8.2,Zamioculcas zamiifolia
3.0,6.0,Zamioculcas zamiifolia
2.8,5.7,Zamioculcas zamiifolia
2.4,6.3,Zamioculcas zamiifolia
3.2,6.7,Zamioculcas zamiifolia
2.5,7.1,Zamioculcas zamiifolia
4.0,8.2,Zamioculcas zamiifolia
6.5,16.5,Snake Plant
6.2,22.1,Snake Plant
5.9,15.9,Snake Plant
7.0,25.1,Snake Plant
6.2,22.4,Snake Plant
5.8,22.5,Snake Plant
6.3,19.8,Snake Plant
5.5,20.9,Snake Plant
5.7,16.4,Snake Plant
5.9,18.2,Snake Plant
6.7,14.6,Snake Plant
6.3,18.1,Snake Plant
6.3,18.3,Snake Plant
6.2,24.4,Snake Plant
5.5,15.3,Snake Plant
6.2,26.2,Snake Plant
6.4,25.7,Snake Plant
5.3,14.3,Snake Plant
6.0,13.6,Snake Plant
4.9,17.5,Snake Plant
5.5,8.3,Bunny Ears Cactus
6.2,8.2,Bunny Ears Cactus
3.2,6.0,Bunny Ears Cactus
2.9,7.1,Bunny Ears Cactus
2.2,3.4,Bunny Ears Cactus
4.6,5.8,Bunny Ears Cactus
3.2,15.1,Bunny Ears Cactus
6.3,8.8,Bunny Ears Cactus
6.8,12.4,Bunny Ears Cactus
2.6,4.1,Bunny Ears Cactus
5.0,6.7,Bunny Ears Cactus
2.7,5.3,Bunny Ears Cactus
3.0,5.8,Bunny Ears Cactus
2.3,8.2,Bunny Ears Cactus
3.2,6.9,Bunny Ears Cactus
4.5,5.6,Bunny Ears Cactus
3.6,6.4,Bunny Ears Cactus
4.3,7.5,Bunny Ears Cactus
2.8,8.5,Bunny Ears Cactus
2.2,4.0,Bunny Ears Cactus

